Date,momentum,value,quality,low_vol,size,growth,dividend,profitability
2021-10-01,1.0,1.0653790812996675,0.9228495675235078,0.9327596144987252,0.9372036670838567,1.0,1.0,0.9822145384137083
2021-10-04,1.0,1.0799291727842604,0.9273859339196422,0.9394440983527633,0.9316335314848989,1.0,1.0,0.9701627363187394
2021-10-05,1.0,1.0795366751348017,0.9237141672959494,0.9380145052944036,0.9314579320217721,1.0,1.0,0.978025632470283
2021-10-06,1.0,1.0728220616028836,0.9393953219392156,0.955158599285617,0.9393426296293225,1.0,1.0,0.9836451960073382
2021-10-07,1.0,1.073036181367696,0.9328698738216078,0.9468352490666043,0.9392200706453336,1.0,1.0,0.9881980551699198
2021-10-08,1.0,1.087823098479441,0.9270021525393785,0.941434403784455,0.9298213037141585,1.0,1.0,0.9856475840266125
2021-10-11,1.0,1.0876619065098412,0.9261856659199391,0.9369598633730992,0.9307957374455852,1.0,1.0,0.989367758506627
2021-10-12,1.0,1.0848144119205072,0.9184336393501364,0.9282742715696594,0.9341591341530858,1.0,1.0,0.9859466602597874
2021-10-13,1.0,1.080475928819666,0.9222659370592659,0.9309678472763678,0.9379371108419587,1.0,1.0,0.9927393872804724
2021-10-14,1.0,1.0758075706370567,0.9206853065591301,0.9297129720769381,0.9421584369364954,1.0,1.0,0.9970415430534977
2021-10-15,1.0,1.0774869150172355,0.9222688515292534,0.9296261449860872,0.9387715659130993,1.0,1.0,1.0000868451877682
2021-10-18,1.0,1.073031665504337,0.9115862422254787,0.9179180977227799,0.9421646080381756,1.0,1.0,1.0105225919825531
2021-10-19,1.0,1.0690799008322276,0.917735747224164,0.9226795171244386,0.9437608104397096,1.0,1.0,1.0162224721279833
2021-10-20,1.0,1.0737700643025605,0.9213048991497662,0.92759921610761,0.9437717343136193,1.0,1.0,1.0085594562896312
2021-10-21,1.0,1.0594095100794483,0.9214393074106243,0.9280845846184529,0.9515023697407156,1.0,1.0,1.0185375051764114
2021-10-22,1.0,1.054125158045129,0.9257707836998393,0.9338316445364195,0.9619987959806275,1.0,1.0,1.0306036480430327
2021-10-25,1.0,1.0591167264145538,0.9090394507276808,0.9166940167983211,0.9550706046479414,1.0,1.0,1.0282201096168504
2021-10-26,1.0,1.0601800820839504,0.9110409351973868,0.9175942256011783,0.9540293726038006,1.0,1.0,1.0317890495828481
2021-10-27,1.0,1.0525713982707987,0.9170718227033502,0.9234650517433722,0.9539029925070356,1.0,1.0,1.040135429108236
2021-10-28,1.0,1.0505435410594515,0.9111184343236014,0.9174974330525149,0.9543981717429083,1.0,1.0,1.0514087531837224
2021-10-29,1.0,1.0397410690462752,0.9118050064217046,0.9211765580164019,0.9588469762465107,1.0,1.0,1.064521607519792
2021-11-01,1.0,1.0550613100560788,0.8911406486755796,0.8960080251361,0.948128701899675,1.0,1.0,1.0312402011513353
2021-11-02,1.0,1.0582910864310682,0.9003395977893797,0.9076806516274336,0.9468244496559345,1.0,1.0,1.041474819114575
2021-11-03,1.0,1.0747690684646753,0.8931338648346627,0.8994143607806712,0.9354870525793939,1.0,1.0,1.0323923431009485
2021-11-04,1.0,1.0739024906388626,0.8932644424407095,0.9012202980128686,0.9316742972036108,1.0,1.0,1.0428284800510683
2021-11-05,1.0,1.0837512299015755,0.8867646056514327,0.8904713262743098,0.9281117200764337,1.0,1.0,1.0086650472388239
2021-11-08,1.0,1.083481881259082,0.8768329371608191,0.8830349178816839,0.9253973986966622,1.0,1.0,1.0161483108368496
2021-11-09,1.0,1.0707094051656258,0.887746237721308,0.8945178624267733,0.9394540581285895,1.0,1.0,1.0195154069278642
2021-11-10,1.0,1.0684280547833944,0.9149343431074709,0.9233826974869365,0.9434605428130267,1.0,1.0,1.0125039988050022
2021-11-11,1.0,1.0774881971433783,0.8992588462494542,0.9072781761001262,0.9398367204994136,1.0,1.0,1.0127424213220966
2021-11-12,1.0,1.066887540023789,0.8974226698187391,0.9088118858386753,0.9424605225407421,1.0,1.0,1.0243395952457266
2021-11-15,1.0,1.0680789735160052,0.9012737169618826,0.9113884919864895,0.9412645919670815,1.0,1.0,1.0203280565754602
2021-11-16,1.0,1.0598883536972483,0.8974603500559812,0.9127573860023303,0.9473354467327442,1.0,1.0,1.0412120764669308
2021-11-17,1.0,1.0558227280983308,0.9111490953716792,0.9244064395848421,0.9476905035791529,1.0,1.0,1.0462378518842543
2021-11-18,1.0,1.0567060365406629,0.9060572355258247,0.922095675811909,0.9453782830651642,1.0,1.0,1.0580431280273799
2021-11-19,1.0,1.0447425686334801,0.9171064426958061,0.9343587344839456,0.9498051263032162,1.0,1.0,1.0740797557553414
2021-11-22,1.0,1.0597652703567448,0.9200893119681245,0.935822738428291,0.942145621366033,1.0,1.0,1.0496612828177345
2021-11-23,1.0,1.0716112401811282,0.9204722375681895,0.9350329972250689,0.940214324821356,1.0,1.0,1.0435915369943711
2021-11-24,1.0,1.0759340144093286,0.9147128702079819,0.9280174082183401,0.9353111258275034,1.0,1.0,1.053079674833698
2021-11-26,1.0,1.0666671989521876,0.9311753651669014,0.9512239054759831,0.9394262532642302,1.0,1.0,1.0741451804630993
2021-11-29,1.0,1.0549084367661703,0.9273059796909494,0.9490666180174236,0.9437476957094824,1.0,1.0,1.0998407781558637
2021-11-30,1.0,1.0590800105801044,0.9281266721449652,0.9503061932725546,0.938962389183889,1.0,1.0,1.101616673865616
2021-12-01,1.0,1.0568744546908633,0.9568895497437605,0.9811619754169483,0.9423301209984917,1.0,1.0,1.1180852588702035
2021-12-02,1.0,1.0613504735188595,0.9413924407937165,0.9645010895759885,0.9462756165477675,1.0,1.0,1.0979447388430073
2021-12-03,1.0,1.0669382574180288,0.9660450479918904,0.9897609435400748,0.9458899592610207,1.0,1.0,1.0874395561674577
2021-12-06,1.0,1.0733681691363957,0.9606605671784145,0.9834151172573452,0.941841360022445,1.0,1.0,1.0553409029301049
2021-12-07,1.0,1.0663466312135212,0.9370792937086675,0.9595555220313918,0.945357177547767,1.0,1.0,1.0738373250651156
2021-12-08,1.0,1.0604936094195432,0.9275853558626626,0.9497836155124312,0.9489542285796848,1.0,1.0,1.0699595031345024
2021-12-09,1.0,1.0630624760566616,0.945855363153694,0.9683486124889256,0.9473827436476174,1.0,1.0,1.0676906919084765
2021-12-10,1.0,1.0609754765787311,0.9508439057334356,0.9778567619876689,0.9477008067260831,1.0,1.0,1.0807573911426935
2021-12-13,1.0,1.0410114055110369,0.9840120397557988,1.0145306350751884,0.962000293431281,1.0,1.0,1.09123526791562
2021-12-14,1.0,1.0543052405806672,0.9864024085792572,1.0137189870433958,0.9536456876613316,1.0,1.0,1.0758242224481391
2021-12-15,1.0,1.046464345964969,0.991449751188814,1.024011904354357,0.9572600483417514,1.0,1.0,1.0978697861829847
2021-12-16,1.0,1.0553698878640883,1.0233789589194764,1.0480112239092993,0.9532626386361707,1.0,1.0,1.0867239315576989
2021-12-17,1.0,1.0575292182986893,0.9973943191565227,1.0249707636845238,0.948764442678693,1.0,1.0,1.0699022535740512
2021-12-20,1.0,1.0613040014127029,1.008709143415955,1.0373032284578008,0.944851406289551,1.0,1.0,1.072887899406216
